Created,ID,Applicant,Job title,Stage type,Stage name,Reject reason,Rejected at,Hired at,Referring site
2023-03-02T03:58:05.571Z,49793695,DIANA MOORE,Treatment Coordinator - Orthodontic Experience,screening,Reviewing,Other reasons,2023-03-30T15:47:52.243Z,,Indeed Direct Apply
2023-03-03T01:47:46.042Z,49883570,JANE TAYLOR,Orthodontic Assistant,screening,Reject,Role not a fit,2023-05-03T18:37:46.723Z,,Indeed Direct Apply
2023-03-03T03:13:56.544Z,49885159,JOHN WILSON,Dental Receptionist,inbox,Inbox,Other reasons,2023-03-08T20:37:36.581Z,,
2023-03-03T16:52:20.817Z,49936946,BOB TAYLOR,Orthodontic Assistant,screening,Reviewing,Scheduling Issues,2023-04-11T13:17:22.244Z,,
2023-03-03T21:00:58.697Z,49951179,EMMA DAVIS,Foreign Trained Dentist for Treatment Plan Supervisor,screening,Reviewing,Dr. Weiss Rejected,2023-05-08T14:21:58.567Z,,Indeed Direct Apply
2023-03-04T02:18:10.431Z,49959950,ALICE WILLIAMS,Treatment Coordinator - Hygienist Background,inbox,Inbox,Other reasons,2023-03-06T15:15:15.272Z,,Indeed Direct Apply
2023-03-04T18:41:48.517Z,49989022,ETHAN TAYLOR,Treatment Coordinator/Foreign Dentists,screening,Reviewing,Commute & location,2023-03-09T19:22:42.526Z,,Indeed Direct Apply
2023-03-04T18:43:59.299Z,49989099,BOB WILLIAMS,Foreign Trained Dentist for Treatment Plan Supervisor,screening,Reviewing,Other reasons,2023-03-09T19:34:12.704Z,,Indeed Direct Apply
2023-03-05T22:43:59.751Z,50041555,JOHN SMITH,Dental Receptionist,inbox,Inbox,Other reasons,2023-03-08T20:37:24.561Z,,Indeed Direct Apply
2023-03-05T22:43:59.751Z,50041555,JOHN SMITH,Dental Receptionist,inbox,Inbox,Other reasons,2023-03-08T20:37:24.561Z,,Indeed Direct Apply
2023-03-06T00:41:31.559Z,50044596,ETHAN JOHNSON,Weekend Dental Assistant,screening,Reviewing,Lacking relevant experience,2023-03-24T12:49:34.816Z,,Indeed Direct Apply
2023-03-06T03:57:48.781Z,50047720,DIANA MILLER,Dental Receptionist,inbox,Inbox,Other reasons,2023-03-08T20:39:27.444Z,,Indeed Direct Apply
2023-03-06T20:55:40.764Z,50130224,BOB JONES,Dental Assistant - Brooklyn,interview,Virtual Interview,Other reasons,2023-04-03T13:40:08.158Z,,Google_jobs_apply
2023-03-06T21:05:22.586Z,50130932,GRACE BROWN,Dental Receptionist,screening,Reviewing,Other reasons,2023-03-08T20:38:29.014Z,,ZipRecruiter United States
2023-03-07T13:27:18.693Z,50196303,ETHAN TAYLOR,Dental Receptionist,inbox,Inbox,Other reasons,2023-03-08T20:36:42.036Z,,Indeed Direct Apply
2023-03-07T20:23:10.896Z,50234063,ETHAN WILSON,Foreign Trained Dentist for Treatment Plan Supervisor,hired,Hired,,,2023-05-08T14:10:17.956Z,Indeed Direct Apply
2023-03-08T00:05:35.151Z,50245273,CHARLIE WILLIAMS,"Orthodontist - Brooklyn, NY",screening,Reject,Position Filled,2023-05-30T15:40:13.198Z,,Indeed Direct Apply
2023-03-08T17:44:39.656Z,50340431,EMMA JOHNSON,"Business Coach - Brooklyn, NY",hired,Inbox,Other reasons,2023-03-09T16:55:28.421Z,,Indeed Direct Apply
2023-03-08T04:17:16.894Z,50250649,DIANA WILSON,"Orthodontist - Brooklyn, NY",screening,Reviewing,Unresponsive,2023-03-27T13:37:46.508Z,,Indeed Direct Apply
2023-03-08T15:20:16.162Z,50303504,BOB DAVIS,Foreign Trained Dentist for Treatment Plan Supervisor,screening,Reviewing,Dr. Weiss Rejected,2023-05-08T14:21:22.925Z,,Indeed Direct Apply
2023-03-08T17:44:39.656Z,50317144,EMMA JOHNSON,"Business Coach - Brooklyn, NY",hired,Hired,,,2023-05-16T13:54:14.466Z,Indeed Direct Apply
2023-03-08T20:54:32.372Z,50330757,ETHAN TAYLOR,"Orthodontist - Brooklyn, NY",screening,Reviewing,Lacking relevant experience,2023-05-12T16:17:38.434Z,,Indeed Direct Apply
2023-03-09T00:25:44.664Z,50340169,EMMA MOORE,Dental Assistant - Brooklyn,inbox,Inbox,Other reasons,2023-03-09T16:55:28.421Z,,Indeed Direct Apply
2023-03-09T00:35:19.367Z,50340431,EMMA SMITH,"Orthodontist - Brooklyn, NY",offer,Offered,Position Filled,2023-05-30T15:46:40.443Z,,Indeed Direct Apply
2023-03-09T04:37:46.672Z,50346082,EMMA MILLER,Treatment Coordinator/Foreign Dentists,screening,Reviewing,Commute & location,2023-03-09T19:22:15.667Z,,ZipRecruiter United States
2023-03-09T14:53:17.686Z,50395064,GRACE JOHNSON,Foreign Trained Dentist for Treatment Plan Supervisor,inbox,Inbox,Other reasons,2023-03-10T14:14:22.245Z,,Indeed Direct Apply
2023-03-09T14:54:24.684Z,50395161,CHARLIE MILLER,Treatment Coordinator/Foreign Dentists,inbox,Inbox,Commute & location,2023-03-10T14:08:25.031Z,,Indeed Direct Apply
2023-03-11T11:04:38.911Z,50530477,EMMA SMITH,Dental Business Operations Manager,screening,Reviewing,Lacking relevant experience,2023-03-14T19:36:02.513Z,,Indeed Direct Apply
2023-03-12T02:03:20.566Z,50560830,GRACE JOHNSON,Foreign Trained Dentist for Treatment Plan Supervisor,screening,Reviewing,Dr. Weiss Rejected,2023-05-08T14:20:42.032Z,,Indeed Direct Apply
2023-03-12T02:04:30.632Z,50560845,BOB WILLIAMS,Treatment Coordinator/Foreign Dentists,screening,Reviewing,Dr. Weiss Rejected,2023-05-08T14:20:21.618Z,,Indeed Direct Apply
2023-03-12T03:02:35.905Z,50561457,BOB DAVIS,Dental Business Operations Manager,screening,Reviewing,More qualified candidate selected,2023-03-14T19:35:46.243Z,,Indeed Direct Apply
2023-03-12T03:03:21.587Z,50561465,JANE DAVIS,Dental Patient Relations Manager,screening,Reviewing,Lacking relevant experience,2023-03-14T19:36:46.217Z,,Indeed Direct Apply
2023-03-12T03:04:34.708Z,50561477,JOHN JONES,Dental Billing Coordinator,screening,Reviewing,More qualified candidate selected,2023-03-14T19:36:31.136Z,,Indeed Direct Apply
2023-03-12T22:53:43.281Z,50605569,JOHN JONES,Dental Billing Coordinator,screening,Reviewing,Lacking relevant experience,2023-03-14T19:36:15.375Z,,Indeed Direct Apply
2023-03-13T17:11:04.676Z,50680349,EMMA MILLER,Dental Patient Relations Manager,interview,Offered Zoom Interview,Role not a fit,2023-03-20T15:10:32.301Z,,Indeed Direct Apply
2023-03-13T22:25:06.219Z,50709004,FRANK MOORE,Foreign Trained Dentist for Treatment Plan Supervisor,screening,Reviewing,Lacking relevant experience,2023-06-02T10:46:37.712Z,,Indeed Direct Apply
2023-03-14T01:32:58.628Z,50716005,ALICE WILSON,Dental Assistant - Brooklyn,inbox,Inbox,More qualified candidate selected,2023-03-24T14:03:50.086Z,,Indeed Direct Apply
2023-03-14T14:35:39.544Z,50769651,GRACE MOORE,Dental Receptionist - Lincoln Family Dental,interview,Virtual Interview,Other reasons,2023-03-30T15:36:09.572Z,,Indeed Direct Apply
2023-03-14T15:19:21.349Z,50774403,JOHN WILLIAMS,Dental Receptionist - Lincoln Family Dental,screening,Reviewing,Other reasons,2023-03-30T15:38:51.248Z,,Indeed Direct Apply
2023-03-14T17:18:10.919Z,50786458,EMMA MILLER,Dental Receptionist - Lincoln Family Dental,screening,Reviewing,Other reasons,2023-03-30T15:37:18.311Z,,Indeed Direct Apply
2023-03-14T18:38:34.429Z,50794101,JOHN JONES,Foreign Trained Dentist for Treatment Plan Supervisor,screening,Reviewing,Lacking relevant experience,2023-06-02T10:46:46.955Z,,Indeed Direct Apply
2023-03-14T19:07:38.544Z,50796572,JOHN TAYLOR,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,More qualified candidate selected,2023-03-22T13:16:26.627Z,,Indeed Direct Apply
2023-03-14T20:22:12.806Z,50802521,ETHAN BROWN,Dental Patient Relations Manager,screening,Reviewing,Lacking relevant experience,2023-03-21T14:38:28.850Z,,Indeed Direct Apply
2023-03-15T01:09:18.342Z,50816879,ETHAN WILLIAMS,Dental Receptionist - Lincoln Family Dental,screening,Reviewing,Other reasons,2023-03-30T15:37:42.704Z,,Indeed Direct Apply
2023-03-15T01:24:28.169Z,50817233,BOB MILLER,Dental Receptionist - Lincoln Family Dental,screening,Reviewing,More qualified candidate selected,2023-03-22T13:06:43.115Z,,Indeed Direct Apply
2023-03-15T01:39:19.308Z,50817591,JANE MOORE,Dental Assistant - Brooklyn,inbox,Inbox,Lacking relevant experience,2023-03-24T14:05:01.810Z,,New_job
2023-03-15T03:03:57.932Z,50819242,JOHN TAYLOR,Dental Receptionist,screening,Reviewing,Unresponsive,2023-04-11T13:20:16.358Z,,Indeed Direct Apply
2023-03-15T11:19:46.984Z,50847767,FRANK DAVIS,Orthodontic Dental Assistant - Brooklyn,inbox,Inbox,Other reasons,2023-04-03T13:37:07.294Z,,Indeed Direct Apply
